2019-10-29 19:52:15,713 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': '0JZc09Dt-3E', 'maxResults': 100}
2019-10-29 19:53:08,037 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': '0JZc09Dt-3E', 'maxResults': 100}
2019-10-29 19:55:31,478 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': '5rTbE5DshPk', 'maxResults': 100}
2019-10-29 19:55:31,876 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': '5rTbE5DshPk', 'maxResults': 100, 'pageToken': 'QURTSl9pMy15UE1aVExIMFdad0w4VGUyclViWnFvdE1uS0h6Vmc3NmtZZkIyUm5JUjN6LTd2VFdUX3NGM2VrZTI5QzRzZnZTMWFFSG5wa3pTY2F4WGtKTjNsZk9WemZZZXowQXBEeXJka2ptc3lPMGg3S3hFal9KQ0JCaDJZTnk='}
2019-10-29 20:42:38,244 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-29 20:42:40,090 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-29 20:42:41,823 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-29 20:43:50,932 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-29 20:43:52,606 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-29 20:43:54,322 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-30 10:10:19,388 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-30 10:10:21,308 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-30 10:10:22,943 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-30 10:12:51,950 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-30 10:12:53,685 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-30 10:12:55,421 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-30 10:13:23,914 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-30 10:13:25,627 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-30 10:13:27,374 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-30 10:14:10,917 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-30 10:14:12,786 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-30 10:14:14,501 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
2019-10-30 10:14:39,769 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('c1zKNiABiHk',), 'maxResults': 100}
2019-10-30 10:14:41,509 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('5dySuyZf9Qg',), 'maxResults': 100}
2019-10-30 10:14:43,102 INFO:log_namespace.Service API endpoint request received, payload: {'key': 'AIzaSyC7OpR3BhPly7MEiy_fQkU_6s7wIMBk77U', 'textFormat': 'plaintext', 'part': 'snippet', 'videoId': ('DcsIXA9u2zQ',), 'maxResults': 100}
